Name Position Velocity
id	name	x	y	velo
0	V0	20.0	2.0	2.0
1	V1	30.0	2.0	2.0
2	V2	46.0	2.0	3.0
3	V3	55.0	0.0	2.5
4	V4	65.0	3.0	2.5
5	V5	28.0	11.0	3.0
6	V6	30.0	10.0	2.0
7	V7	40.0	12.0	2.0
8	V8	53.0	15.0	3.0
9	V9	63.0	15.0	3.0
10	V10	30.0	20.0	3.0
11	V11	35.0	20.0	2.5
12	V12	40.0	28.0	3.0
13	V13	52.5	25.5	2.5
14	V14	62.5	25.5	2.5
15	V15	25.0	33.0	2.5
16	V16	36.0	35.0	3.0
17	V17	40.0	32.0	2.0
18	V18	50.0	38.0	3.0
19	V19	60.0	30.0	2.0
20	V20	22.5	45.5	2.5
21	V21	39.0	42.0	3.0
22	V22	40.0	40.0	2.0
23	V23	55.0	43.0	2.5
24	V24	65.0	43.0	2.5
