Name Position Velocity in58
id,	name,	x,	y,	velo,
0,	V0,	30.0,	5.5,	2.5
1,	V1,	23.0,	4.0,	3.0
2,	V2,	34.0,	2.0,	2.0
3,	V3,	32.0,	0.0,	2.0
4,	V4,	46.0,	2.0,	2.0
5,	V5,	26.0,	15.0,	3.0
6,	V6,	40.0,	12.0,	2.0
7,	V7,	27.5,	7.5,	2.5
8,	V8,	34.0,	12.0,	2.0
9,	V9,	44.0,	8.0,	2.0
10,	V10,	4.0,	22.0,	2.0
11,	V11,	17.5,	22.5,	2.5
12,	V12,	32.0,	22.0,	2.0
13,	V13,	40.0,	20.0,	2.5
14,	V14,	40.0,	18.0,	2.0
15,	V15,	39.0,	30.0,	3.0
16,	V16,	15.0,	32.5,	2.5
17,	V17,	34.0,	34.0,	2.0
18,	V18,	30.0,	30.0,	3.0
19,	V19,	40.0,	33.0,	3.0
20,	V20,	27.5,	41.0,	2.5
21,	V21,	26.0,	41.0,	3.0
22,	V22,	30.0,	35.0,	3.0
23,	V23,	30.0,	40.0,	2.5
24,	V24,	43.0,	40.0,	3.0
