Name Position Velocity in118
id,	name,	x,	y,	velo,
0,	V0,	10.0,	3.0,	2.5
1,	V1,	10.0,	3.0,	3.0
2,	V2,	22.0,	2.0,	2.0
3,	V3,	38.0,	0.0,	2.0
4,	V4,	40.0,	0.0,	2.0
5,	V5,	18.0,	7.0,	3.0
6,	V6,	24.0,	10.0,	2.0
7,	V7,	37.5,	8.0,	2.5
8,	V8,	38.0,	12.0,	2.0
9,	V9,	40.0,	10.0,	2.0
10,	V10,	8.0,	22.0,	2.0
11,	V11,	32.5,	28.0,	2.5
12,	V12,	42.0,	22.0,	2.0
13,	V13,	47.5,	20.5,	2.5
14,	V14,	44.0,	20.0,	2.0
15,	V15,	22.0,	37.0,	3.0
16,	V16,	25.0,	32.5,	2.5
17,	V17,	22.0,	32.0,	2.0
18,	V18,	43.0,	37.0,	3.0
19,	V19,	40.0,	27.0,	3.0
20,	V20,	17.5,	40.5,	2.5
21,	V21,	40.0,	46.0,	3.0
22,	V22,	39.0,	44.0,	3.0
23,	V23,	37.5,	37.5,	2.5
24,	V24,	40.0,	40.0,	3.0
