Name Position Velocity
id	name	x	y	velo
0	V0	16.0	0.0	2.0
1	V1	26.0	0.0	2.0
2	V2	40.0	2.0	3.0
3	V3	50.0	0.0	2.5
4	V4	60.0	3.0	2.5
5	V5	22.0	11.0	3.0
6	V6	26.0	10.0	2.0
7	V7	36.0	10.0	2.0
8	V8	49.0	14.0	3.0
9	V9	59.0	14.0	3.0
10	V10	24.0	20.0	3.0
11	V11	30.0	20.0	2.5
12	V12	39.0	24.0	3.0
13	V13	50.0	23.0	2.5
14	V14	60.0	23.0	2.5
15	V15	20.0	33.0	2.5
16	V16	30.0	35.0	3.0
17	V17	36.0	30.0	2.0
18	V18	49.0	34.0	3.0
19	V19	56.0	30.0	2.0
20	V20	20.0	43.0	2.5
21	V21	33.0	42.0	3.0
22	V22	36.0	40.0	2.0
23	V23	50.0	43.0	2.5
24	V24	60.0	43.0	2.5
