Name Position Velocity
id	name	x	y	velo
0	V0	4.0	0.0	2.0
1	V1	14.0	0.0	2.0
2	V2	26.0	0.0	3.0
3	V3	35.0	0.0	2.5
4	V4	45.0	0.0	2.5
5	V5	6.0	10.0	3.0
6	V6	14.0	10.0	2.0
7	V7	24.0	10.0	2.0
8	V8	36.0	10.0	3.0
9	V9	46.0	10.0	3.0
10	V10	6.0	20.0	3.0
11	V11	15.0	20.0	2.5
12	V12	26.0	20.0	3.0
13	V13	35.0	20.0	2.5
14	V14	45.0	20.0	2.5
15	V15	5.0	30.0	2.5
16	V16	16.0	30.0	3.0
17	V17	24.0	30.0	2.0
18	V18	36.0	30.0	3.0
19	V19	44.0	30.0	2.0
20	V20	5.0	40.0	2.5
21	V21	16.0	40.0	3.0
22	V22	24.0	40.0	2.0
23	V23	35.0	40.0	2.5
24	V24	45.0	40.0	2.5
