Name Position Velocity
id	name	x	y	velo
0	V0	26.0	2.0	2.0
1	V1	34.0	4.0	2.0
2	V2	53.0	3.0	3.0
3	V3	60.0	5.5	2.5
4	V4	72.5	3.0	2.5
5	V5	37.0	11.0	3.0
6	V6	36.0	10.0	2.0
7	V7	44.0	14.0	2.0
8	V8	60.0	16.0	3.0
9	V9	72.0	15.0	3.0
10	V10	39.0	20.0	3.0
11	V11	42.5	23.0	2.5
12	V12	49.0	28.0	3.0
13	V13	60.0	28.5	2.5
14	V14	70.0	28.5	2.5
15	V15	32.5	33.0	2.5
16	V16	43.0	36.0	3.0
17	V17	46.0	32.0	2.0
18	V18	59.0	38.0	3.0
19	V19	66.0	30.0	2.0
20	V20	30.0	45.5	2.5
21	V21	46.0	43.0	3.0
22	V22	46.0	40.0	2.0
23	V23	62.5	43.0	2.5
24	V24	72.5	43.0	2.5
