Name Position Velocity in77
id,	name,	x,	y,	velo,
0,	V0,	20.0,	8.0,	2.5
1,	V1,	20.0,	4.0,	3.0
2,	V2,	36.0,	2.0,	2.0
3,	V3,	44.0,	4.0,	2.0
4,	V4,	40.0,	0.0,	2.0
5,	V5,	20.0,	18.0,	3.0
6,	V6,	32.0,	12.0,	2.0
7,	V7,	40.0,	15.5,	2.5
8,	V8,	46.0,	12.0,	2.0
9,	V9,	48.0,	12.0,	2.0
10,	V10,	38.0,	26.0,	2.0
11,	V11,	20.0,	25.5,	2.5
12,	V12,	34.0,	22.0,	2.0
13,	V13,	40.0,	22.5,	2.5
14,	V14,	44.0,	22.0,	2.0
15,	V15,	30.0,	27.0,	3.0
16,	V16,	15.0,	32.5,	2.5
17,	V17,	40.0,	36.0,	2.0
18,	V18,	36.0,	27.0,	3.0
19,	V19,	43.0,	30.0,	3.0
20,	V20,	17.5,	43.0,	2.5
21,	V21,	30.0,	39.0,	3.0
22,	V22,	43.0,	48.0,	3.0
23,	V23,	32.5,	40.0,	2.5
24,	V24,	43.0,	43.0,	3.0
