Name Position Velocity in5
id,	name,	x,	y,	velo,
0,	V0,	12.5,	0.0,	2.5
1,	V1,	20.0,	4.0,	3.0
2,	V2,	30.0,	0.0,	2.0
3,	V3,	40.0,	0.0,	2.0
4,	V4,	40.0,	0.0,	2.0
5,	V5,	10.0,	14.0,	3.0
6,	V6,	20.0,	10.0,	2.0
7,	V7,	32.5,	10.0,	2.5
8,	V8,	40.0,	10.0,	2.0
9,	V9,	40.0,	10.0,	2.0
10,	V10,	10.0,	20.0,	2.0
11,	V11,	22.5,	20.0,	2.5
12,	V12,	30.0,	20.0,	2.0
13,	V13,	42.5,	20.0,	2.5
14,	V14,	40.0,	20.0,	2.0
15,	V15,	15.0,	30.0,	3.0
16,	V16,	22.5,	30.0,	2.5
17,	V17,	30.0,	30.0,	2.0
18,	V18,	45.0,	30.0,	3.0
19,	V19,	40.0,	27.0,	3.0
20,	V20,	12.5,	40.0,	2.5
21,	V21,	25.0,	40.0,	3.0
22,	V22,	35.0,	40.0,	3.0
23,	V23,	42.5,	40.0,	2.5
24,	V24,	40.0,	37.0,	3.0
