Name Position Velocity in132
id,	name,	x,	y,	velo,
0,	V0,	37.5,	6.5,	2.5
1,	V1,	43.0,	6.0,	3.0
2,	V2,	46.0,	6.0,	2.0
3,	V3,	44.0,	0.0,	2.0
4,	V4,	44.0,	2.0,	2.0
5,	V5,	3.0,	7.0,	3.0
6,	V6,	10.0,	10.0,	2.0
7,	V7,	37.5,	7.5,	2.5
8,	V8,	42.0,	10.0,	2.0
9,	V9,	44.0,	10.0,	2.0
10,	V10,	34.0,	26.0,	2.0
11,	V11,	22.5,	23.0,	2.5
12,	V12,	38.0,	20.0,	2.0
13,	V13,	37.5,	20.0,	2.5
14,	V14,	40.0,	20.0,	2.0
15,	V15,	3.0,	30.0,	3.0
16,	V16,	15.0,	30.0,	2.5
17,	V17,	48.0,	36.0,	2.0
18,	V18,	30.0,	33.0,	3.0
19,	V19,	40.0,	30.0,	3.0
20,	V20,	45.0,	47.0,	2.5
21,	V21,	32.0,	38.0,	3.0
22,	V22,	42.0,	41.0,	3.0
23,	V23,	45.0,	43.0,	2.5
24,	V24,	40.0,	40.0,	3.0
