Name Position Velocity in82
id,	name,	x,	y,	velo,
0,	V0,	30.0,	13.5,	2.5
1,	V1,	35.0,	4.0,	3.0
2,	V2,	46.0,	2.0,	2.0
3,	V3,	32.0,	2.0,	2.0
4,	V4,	48.0,	2.0,	2.0
5,	V5,	30.0,	22.0,	3.0
6,	V6,	42.0,	12.0,	2.0
7,	V7,	20.0,	10.0,	2.5
8,	V8,	36.0,	10.0,	2.0
9,	V9,	46.0,	8.0,	2.0
10,	V10,	46.0,	26.0,	2.0
11,	V11,	30.0,	23.0,	2.5
12,	V12,	42.0,	26.0,	2.0
13,	V13,	30.0,	22.5,	2.5
14,	V14,	42.0,	22.0,	2.0
15,	V15,	42.0,	30.0,	3.0
16,	V16,	25.0,	33.0,	2.5
17,	V17,	48.0,	38.0,	2.0
18,	V18,	46.0,	31.0,	3.0
19,	V19,	43.0,	27.0,	3.0
20,	V20,	27.5,	48.5,	2.5
21,	V21,	42.0,	42.0,	3.0
22,	V22,	23.0,	43.0,	3.0
23,	V23,	42.5,	40.5,	2.5
24,	V24,	43.0,	43.0,	3.0
