Name Position Velocity in43
id,	name,	x,	y,	velo,
0,	V0,	45.0,	6.5,	2.5
1,	V1,	20.0,	1.0,	3.0
2,	V2,	36.0,	2.0,	2.0
3,	V3,	46.0,	6.0,	2.0
4,	V4,	48.0,	2.0,	2.0
5,	V5,	46.0,	14.0,	3.0
6,	V6,	10.0,	10.0,	2.0
7,	V7,	27.5,	10.0,	2.5
8,	V8,	46.0,	12.0,	2.0
9,	V9,	48.0,	12.0,	2.0
10,	V10,	28.0,	26.0,	2.0
11,	V11,	27.5,	23.0,	2.5
12,	V12,	38.0,	22.0,	2.0
13,	V13,	45.0,	23.0,	2.5
14,	V14,	44.0,	18.0,	2.0
15,	V15,	49.0,	34.0,	3.0
16,	V16,	25.0,	32.5,	2.5
17,	V17,	38.0,	32.0,	2.0
18,	V18,	30.0,	30.0,	3.0
19,	V19,	40.0,	30.0,	3.0
20,	V20,	45.0,	46.0,	2.5
21,	V21,	34.0,	43.0,	3.0
22,	V22,	30.0,	38.0,	3.0
23,	V23,	40.0,	40.5,	2.5
24,	V24,	40.0,	40.0,	3.0
