Name Position Velocity
id	name	x	y	velo
0	V0	8.0	0.0	2.0
1	V1	18.0	0.0	2.0
2	V2	30.0	1.0	3.0
3	V3	40.0	0.0	2.5
4	V4	50.0	0.0	2.5
5	V5	10.0	11.0	3.0
6	V6	18.0	10.0	2.0
7	V7	28.0	10.0	2.0
8	V8	40.0	11.0	3.0
9	V9	50.0	11.0	3.0
10	V10	12.0	20.0	3.0
11	V11	20.0	20.0	2.5
12	V12	30.0	21.0	3.0
13	V13	40.0	20.0	2.5
14	V14	50.0	20.0	2.5
15	V15	10.0	30.0	2.5
16	V16	22.0	30.0	3.0
17	V17	28.0	30.0	2.0
18	V18	40.0	31.0	3.0
19	V19	48.0	30.0	2.0
20	V20	10.0	40.0	2.5
21	V21	22.0	40.0	3.0
22	V22	28.0	40.0	2.0
23	V23	40.0	40.0	2.5
24	V24	50.0	40.0	2.5
