Name Position Velocity in55
id,	name,	x,	y,	velo,
0,	V0,	22.5,	5.5,	2.5
1,	V1,	19.0,	0.0,	3.0
2,	V2,	28.0,	2.0,	2.0
3,	V3,	48.0,	4.0,	2.0
4,	V4,	40.0,	2.0,	2.0
5,	V5,	20.0,	12.0,	3.0
6,	V6,	34.0,	10.0,	2.0
7,	V7,	20.0,	7.5,	2.5
8,	V8,	30.0,	10.0,	2.0
9,	V9,	40.0,	10.0,	2.0
10,	V10,	0.0,	20.0,	2.0
11,	V11,	10.0,	22.5,	2.5
12,	V12,	28.0,	18.0,	2.0
13,	V13,	32.5,	20.0,	2.5
14,	V14,	46.0,	20.0,	2.0
15,	V15,	30.0,	30.0,	3.0
16,	V16,	10.0,	30.0,	2.5
17,	V17,	30.0,	32.0,	2.0
18,	V18,	42.0,	30.0,	3.0
19,	V19,	46.0,	33.0,	3.0
20,	V20,	20.0,	41.0,	2.5
21,	V21,	20.0,	38.0,	3.0
22,	V22,	26.0,	37.0,	3.0
23,	V23,	42.5,	48.0,	2.5
24,	V24,	46.0,	37.0,	3.0
