Name Position Velocity
id	name	x	y	velo
0	V0	14.0	0.0	2.0
1	V1	24.0	0.0	2.0
2	V2	39.0	1.0	3.0
3	V3	47.5	0.0	2.5
4	V4	57.5	0.0	2.5
5	V5	19.0	11.0	3.0
6	V6	24.0	10.0	2.0
7	V7	34.0	10.0	2.0
8	V8	46.0	14.0	3.0
9	V9	56.0	14.0	3.0
10	V10	21.0	20.0	3.0
11	V11	27.5	20.0	2.5
12	V12	36.0	24.0	3.0
13	V13	47.5	20.0	2.5
14	V14	57.5	20.0	2.5
15	V15	17.5	30.0	2.5
16	V16	30.0	32.0	3.0
17	V17	34.0	30.0	2.0
18	V18	46.0	34.0	3.0
19	V19	54.0	30.0	2.0
20	V20	17.5	40.0	2.5
21	V21	30.0	42.0	3.0
22	V22	34.0	40.0	2.0
23	V23	47.5	40.0	2.5
24	V24	57.5	40.0	2.5
