Name Position Velocity in34
id,	name,	x,	y,	velo,
0,	V0,	27.5,	0.5,	2.5
1,	V1,	10.0,	0.0,	3.0
2,	V2,	20.0,	2.0,	2.0
3,	V3,	30.0,	2.0,	2.0
4,	V4,	42.0,	2.0,	2.0
5,	V5,	28.0,	11.0,	3.0
6,	V6,	32.0,	16.0,	2.0
7,	V7,	37.5,	12.5,	2.5
8,	V8,	30.0,	12.0,	2.0
9,	V9,	42.0,	12.0,	2.0
10,	V10,	12.0,	22.0,	2.0
11,	V11,	10.0,	20.0,	2.5
12,	V12,	22.0,	22.0,	2.0
13,	V13,	47.5,	22.5,	2.5
14,	V14,	40.0,	20.0,	2.0
15,	V15,	30.0,	27.0,	3.0
16,	V16,	45.0,	28.5,	2.5
17,	V17,	22.0,	28.0,	2.0
18,	V18,	48.0,	33.0,	3.0
19,	V19,	40.0,	33.0,	3.0
20,	V20,	22.5,	46.0,	2.5
21,	V21,	10.0,	40.0,	3.0
22,	V22,	38.0,	37.0,	3.0
23,	V23,	40.0,	48.0,	2.5
24,	V24,	40.0,	37.0,	3.0
