Name Position Velocity
id	name	x	y	velo
0	V0	18.0	0.0	2.0
1	V1	28.0	0.0	2.0
2	V2	43.0	2.0	3.0
3	V3	52.5	0.0	2.5
4	V4	62.5	3.0	2.5
5	V5	25.0	11.0	3.0
6	V6	28.0	10.0	2.0
7	V7	38.0	10.0	2.0
8	V8	50.0	15.0	3.0
9	V9	60.0	15.0	3.0
10	V10	27.0	20.0	3.0
11	V11	32.5	20.0	2.5
12	V12	40.0	25.0	3.0
13	V13	50.0	25.5	2.5
14	V14	60.0	25.5	2.5
15	V15	22.5	33.0	2.5
16	V16	33.0	35.0	3.0
17	V17	38.0	30.0	2.0
18	V18	50.0	35.0	3.0
19	V19	58.0	30.0	2.0
20	V20	20.0	45.5	2.5
21	V21	36.0	42.0	3.0
22	V22	38.0	40.0	2.0
23	V23	52.5	43.0	2.5
24	V24	62.5	43.0	2.5
