Name Position Velocity in106
id,	name,	x,	y,	velo,
0,	V0,	32.5,	8.5,	2.5
1,	V1,	29.0,	4.0,	3.0
2,	V2,	30.0,	0.0,	2.0
3,	V3,	36.0,	0.0,	2.0
4,	V4,	40.0,	0.0,	2.0
5,	V5,	40.0,	11.0,	3.0
6,	V6,	42.0,	24.0,	2.0
7,	V7,	42.5,	11.0,	2.5
8,	V8,	38.0,	12.0,	2.0
9,	V9,	48.0,	10.0,	2.0
10,	V10,	38.0,	24.0,	2.0
11,	V11,	47.5,	25.5,	2.5
12,	V12,	22.0,	22.0,	2.0
13,	V13,	40.0,	23.0,	2.5
14,	V14,	42.0,	18.0,	2.0
15,	V15,	46.0,	28.0,	3.0
16,	V16,	40.0,	33.0,	2.5
17,	V17,	30.0,	32.0,	2.0
18,	V18,	40.0,	34.0,	3.0
19,	V19,	46.0,	30.0,	3.0
20,	V20,	40.0,	48.5,	2.5
21,	V21,	16.0,	37.0,	3.0
22,	V22,	40.0,	33.0,	3.0
23,	V23,	32.5,	42.5,	2.5
24,	V24,	43.0,	40.0,	3.0
