Name Position Velocity in2
id,	name,	x,	y,	velo,
0,	V0,	5.0,	0.0,	2.5
1,	V1,	16.0,	0.0,	3.0
2,	V2,	24.0,	0.0,	2.0
3,	V3,	34.0,	0.0,	2.0
4,	V4,	44.0,	0.0,	2.0
5,	V5,	6.0,	10.0,	3.0
6,	V6,	14.0,	10.0,	2.0
7,	V7,	25.0,	10.0,	2.5
8,	V8,	34.0,	10.0,	2.0
9,	V9,	44.0,	10.0,	2.0
10,	V10,	4.0,	20.0,	2.0
11,	V11,	15.0,	20.0,	2.5
12,	V12,	24.0,	20.0,	2.0
13,	V13,	35.0,	20.0,	2.5
14,	V14,	44.0,	20.0,	2.0
15,	V15,	6.0,	30.0,	3.0
16,	V16,	15.0,	30.0,	2.5
17,	V17,	24.0,	30.0,	2.0
18,	V18,	36.0,	30.0,	3.0
19,	V19,	46.0,	30.0,	3.0
20,	V20,	5.0,	40.0,	2.5
21,	V21,	16.0,	40.0,	3.0
22,	V22,	26.0,	40.0,	3.0
23,	V23,	35.0,	40.0,	2.5
24,	V24,	46.0,	40.0,	3.0
