Name Position Velocity
id	name	x	y	velo
0	V0	12.0	0.0	2.0
1	V1	22.0	0.0	2.0
2	V2	36.0	1.0	3.0
3	V3	45.0	0.0	2.5
4	V4	55.0	0.0	2.5
5	V5	16.0	11.0	3.0
6	V6	22.0	10.0	2.0
7	V7	32.0	10.0	2.0
8	V8	43.0	14.0	3.0
9	V9	53.0	14.0	3.0
10	V10	18.0	20.0	3.0
11	V11	25.0	20.0	2.5
12	V12	33.0	24.0	3.0
13	V13	45.0	20.0	2.5
14	V14	55.0	20.0	2.5
15	V15	15.0	30.0	2.5
16	V16	28.0	30.0	3.0
17	V17	32.0	30.0	2.0
18	V18	43.0	34.0	3.0
19	V19	52.0	30.0	2.0
20	V20	15.0	40.0	2.5
21	V21	28.0	40.0	3.0
22	V22	32.0	40.0	2.0
23	V23	45.0	40.0	2.5
24	V24	55.0	40.0	2.5
