Name Position Velocity in148
id,	name,	x,	y,	velo,
0,	V0,	25.0,	5.5,	2.5
1,	V1,	40.0,	6.0,	3.0
2,	V2,	44.0,	0.0,	2.0
3,	V3,	32.0,	0.0,	2.0
4,	V4,	44.0,	0.0,	2.0
5,	V5,	42.0,	10.0,	3.0
6,	V6,	38.0,	16.0,	2.0
7,	V7,	40.0,	13.0,	2.5
8,	V8,	30.0,	12.0,	2.0
9,	V9,	42.0,	12.0,	2.0
10,	V10,	12.0,	22.0,	2.0
11,	V11,	17.5,	22.5,	2.5
12,	V12,	36.0,	20.0,	2.0
13,	V13,	30.0,	22.5,	2.5
14,	V14,	46.0,	18.0,	2.0
15,	V15,	40.0,	34.0,	3.0
16,	V16,	47.5,	41.5,	2.5
17,	V17,	48.0,	30.0,	2.0
18,	V18,	30.0,	33.0,	3.0
19,	V19,	43.0,	30.0,	3.0
20,	V20,	30.0,	46.0,	2.5
21,	V21,	30.0,	48.0,	3.0
22,	V22,	20.0,	40.0,	3.0
23,	V23,	40.0,	43.0,	2.5
24,	V24,	43.0,	37.0,	3.0
