Name Position Velocity in21
id,	name,	x,	y,	velo,
0,	V0,	47.5,	6.0,	2.5
1,	V1,	16.0,	0.0,	3.0
2,	V2,	28.0,	2.0,	2.0
3,	V3,	48.0,	4.0,	2.0
4,	V4,	40.0,	0.0,	2.0
5,	V5,	48.0,	10.0,	3.0
6,	V6,	10.0,	10.0,	2.0
7,	V7,	37.5,	18.0,	2.5
8,	V8,	30.0,	10.0,	2.0
9,	V9,	40.0,	10.0,	2.0
10,	V10,	40.0,	20.0,	2.0
11,	V11,	20.0,	20.5,	2.5
12,	V12,	30.0,	22.0,	2.0
13,	V13,	37.5,	22.5,	2.5
14,	V14,	48.0,	18.0,	2.0
15,	V15,	3.0,	30.0,	3.0
16,	V16,	17.5,	27.5,	2.5
17,	V17,	30.0,	30.0,	2.0
18,	V18,	39.0,	33.0,	3.0
19,	V19,	43.0,	27.0,	3.0
20,	V20,	45.0,	46.5,	2.5
21,	V21,	23.0,	44.0,	3.0
22,	V22,	39.0,	41.0,	3.0
23,	V23,	35.0,	42.5,	2.5
24,	V24,	43.0,	37.0,	3.0
