Name Position Velocity in53
id,	name,	x,	y,	velo,
0,	V0,	17.5,	5.5,	2.5
1,	V1,	13.0,	0.0,	3.0
2,	V2,	24.0,	2.0,	2.0
3,	V3,	44.0,	4.0,	2.0
4,	V4,	48.0,	0.0,	2.0
5,	V5,	16.0,	11.0,	3.0
6,	V6,	30.0,	10.0,	2.0
7,	V7,	47.5,	21.0,	2.5
8,	V8,	46.0,	10.0,	2.0
9,	V9,	46.0,	10.0,	2.0
10,	V10,	46.0,	30.0,	2.0
11,	V11,	47.5,	34.0,	2.5
12,	V12,	24.0,	18.0,	2.0
13,	V13,	47.5,	25.5,	2.5
14,	V14,	42.0,	20.0,	2.0
15,	V15,	27.0,	30.0,	3.0
16,	V16,	45.0,	38.5,	2.5
17,	V17,	26.0,	30.0,	2.0
18,	V18,	36.0,	30.0,	3.0
19,	V19,	40.0,	33.0,	3.0
20,	V20,	17.5,	40.5,	2.5
21,	V21,	16.0,	37.0,	3.0
22,	V22,	20.0,	37.0,	3.0
23,	V23,	40.0,	45.5,	2.5
24,	V24,	40.0,	37.0,	3.0
