Name Position Velocity in12
id,	name,	x,	y,	velo,
0,	V0,	26.0,	8.0,	3.0
1,	V1,	36.0,	2.0,	3.0
2,	V2,	42.0,	0.0,	2.0
3,	V3,	60.0,	3.0,	2.5
4,	V4,	62.0,	0.0,	2.0
5,	V5,	27.5,	15.5,	2.5
6,	V6,	32.0,	10.0,	2.0
7,	V7,	50.0,	16.0,	3.0
8,	V8,	66.0,	10.0,	3.0
9,	V9,	64.0,	10.0,	2.0
10,	V10,	22.0,	24.0,	2.0
11,	V11,	32.0,	24.0,	2.0
12,	V12,	50.0,	20.0,	2.5
13,	V13,	66.0,	20.0,	3.0
14,	V14,	62.0,	20.0,	2.0
15,	V15,	22.0,	34.0,	2.0
16,	V16,	46.0,	30.0,	3.0
17,	V17,	47.5,	30.5,	2.5
18,	V18,	52.0,	30.0,	2.0
19,	V19,	67.5,	30.5,	2.5
20,	V20,	27.5,	40.5,	2.5
21,	V21,	34.0,	40.0,	2.0
22,	V22,	42.0,	40.0,	2.0
23,	V23,	52.0,	44.0,	2.0
24,	V24,	62.0,	44.0,	2.0
