Name Position Velocity
id	name	x	y	velo
0	V0	28.0	2.0	2.0
1	V1	36.0	4.0	2.0
2	V2	56.0	3.0	3.0
3	V3	62.5	5.5	2.5
4	V4	75.0	3.0	2.5
5	V5	40.0	14.0	3.0
6	V6	38.0	10.0	2.0
7	V7	46.0	14.0	2.0
8	V8	63.0	16.0	3.0
9	V9	75.0	15.0	3.0
10	V10	42.0	20.0	3.0
11	V11	45.0	23.0	2.5
12	V12	52.0	28.0	3.0
13	V13	60.0	31.0	2.5
14	V14	70.0	31.0	2.5
15	V15	35.0	33.0	2.5
16	V16	46.0	36.0	3.0
17	V17	48.0	32.0	2.0
18	V18	60.0	39.0	3.0
19	V19	68.0	30.0	2.0
20	V20	32.5	45.5	2.5
21	V21	49.0	43.0	3.0
22	V22	48.0	40.0	2.0
23	V23	65.0	43.0	2.5
24	V24	75.0	43.0	2.5
