Name Position Velocity in126
id,	name,	x,	y,	velo,
0,	V0,	25.0,	1.0,	2.5
1,	V1,	29.0,	1.0,	3.0
2,	V2,	36.0,	6.0,	2.0
3,	V3,	32.0,	0.0,	2.0
4,	V4,	44.0,	2.0,	2.0
5,	V5,	38.0,	6.0,	3.0
6,	V6,	40.0,	12.0,	2.0
7,	V7,	22.5,	7.5,	2.5
8,	V8,	32.0,	10.0,	2.0
9,	V9,	42.0,	8.0,	2.0
10,	V10,	22.0,	26.0,	2.0
11,	V11,	10.0,	22.5,	2.5
12,	V12,	28.0,	20.0,	2.0
13,	V13,	42.5,	18.0,	2.5
14,	V14,	48.0,	22.0,	2.0
15,	V15,	40.0,	43.0,	3.0
16,	V16,	40.0,	38.5,	2.5
17,	V17,	36.0,	36.0,	2.0
18,	V18,	40.0,	28.0,	3.0
19,	V19,	49.0,	33.0,	3.0
20,	V20,	32.5,	46.5,	2.5
21,	V21,	19.0,	40.0,	3.0
22,	V22,	29.0,	37.0,	3.0
23,	V23,	32.5,	37.5,	2.5
24,	V24,	49.0,	37.0,	3.0
