Name Position Velocity in29
id,	name,	x,	y,	velo,
0,	V0,	17.5,	0.0,	2.5
1,	V1,	40.0,	0.0,	3.0
2,	V2,	42.0,	2.0,	2.0
3,	V3,	42.0,	0.0,	2.0
4,	V4,	44.0,	0.0,	2.0
5,	V5,	13.0,	11.0,	3.0
6,	V6,	24.0,	12.0,	2.0
7,	V7,	25.0,	12.5,	2.5
8,	V8,	42.0,	12.0,	2.0
9,	V9,	44.0,	10.0,	2.0
10,	V10,	4.0,	22.0,	2.0
11,	V11,	37.5,	21.0,	2.5
12,	V12,	44.0,	24.0,	2.0
13,	V13,	35.0,	22.5,	2.5
14,	V14,	40.0,	18.0,	2.0
15,	V15,	20.0,	29.0,	3.0
16,	V16,	35.0,	28.0,	2.5
17,	V17,	44.0,	30.0,	2.0
18,	V18,	33.0,	33.0,	3.0
19,	V19,	40.0,	33.0,	3.0
20,	V20,	12.5,	40.5,	2.5
21,	V21,	40.0,	43.0,	3.0
22,	V22,	23.0,	37.0,	3.0
23,	V23,	30.0,	42.5,	2.5
24,	V24,	40.0,	43.0,	3.0
