Name Position Velocity
id	name	x	y	velo
0	V0	22.0	2.0	2.0
1	V1	30.0	4.0	2.0
2	V2	49.0	2.0	3.0
3	V3	57.5	0.0	2.5
4	V4	67.5	3.0	2.5
5	V5	31.0	11.0	3.0
6	V6	32.0	10.0	2.0
7	V7	40.0	14.0	2.0
8	V8	56.0	15.0	3.0
9	V9	66.0	15.0	3.0
10	V10	33.0	20.0	3.0
11	V11	37.5	20.0	2.5
12	V12	43.0	28.0	3.0
13	V13	55.0	25.5	2.5
14	V14	65.0	25.5	2.5
15	V15	27.5	33.0	2.5
16	V16	39.0	35.0	3.0
17	V17	42.0	32.0	2.0
18	V18	53.0	38.0	3.0
19	V19	62.0	30.0	2.0
20	V20	25.0	45.5	2.5
21	V21	40.0	43.0	3.0
22	V22	42.0	40.0	2.0
23	V23	57.5	43.0	2.5
24	V24	67.5	43.0	2.5
