Name Position Velocity in95
id,	name,	x,	y,	velo,
0,	V0,	10.0,	2.5,	2.5
1,	V1,	25.0,	0.0,	3.0
2,	V2,	40.0,	0.0,	2.0
3,	V3,	36.0,	0.0,	2.0
4,	V4,	40.0,	0.0,	2.0
5,	V5,	12.0,	10.0,	3.0
6,	V6,	24.0,	16.0,	2.0
7,	V7,	20.0,	10.0,	2.5
8,	V8,	38.0,	8.0,	2.0
9,	V9,	48.0,	12.0,	2.0
10,	V10,	20.0,	22.0,	2.0
11,	V11,	20.0,	25.5,	2.5
12,	V12,	34.0,	22.0,	2.0
13,	V13,	40.0,	25.5,	2.5
14,	V14,	44.0,	22.0,	2.0
15,	V15,	20.0,	32.0,	3.0
16,	V16,	12.5,	30.0,	2.5
17,	V17,	40.0,	38.0,	2.0
18,	V18,	39.0,	33.0,	3.0
19,	V19,	40.0,	30.0,	3.0
20,	V20,	15.0,	43.0,	2.5
21,	V21,	30.0,	42.0,	3.0
22,	V22,	20.0,	40.0,	3.0
23,	V23,	30.0,	40.0,	2.5
24,	V24,	40.0,	40.0,	3.0
