Name Position Velocity
id	name	x	y	velo
0	V0	10.0	0.0	2.0
1	V1	20.0	0.0	2.0
2	V2	33.0	1.0	3.0
3	V3	42.5	0.0	2.5
4	V4	52.5	0.0	2.5
5	V5	13.0	11.0	3.0
6	V6	20.0	10.0	2.0
7	V7	30.0	10.0	2.0
8	V8	40.0	14.0	3.0
9	V9	50.0	14.0	3.0
10	V10	15.0	20.0	3.0
11	V11	22.5	20.0	2.5
12	V12	30.0	24.0	3.0
13	V13	42.5	20.0	2.5
14	V14	52.5	20.0	2.5
15	V15	12.5	30.0	2.5
16	V16	25.0	30.0	3.0
17	V17	30.0	30.0	2.0
18	V18	40.0	34.0	3.0
19	V19	50.0	30.0	2.0
20	V20	12.5	40.0	2.5
21	V21	25.0	40.0	3.0
22	V22	30.0	40.0	2.0
23	V23	42.5	40.0	2.5
24	V24	52.5	40.0	2.5
