Name Position Velocity in71
id,	name,	x,	y,	velo,
0,	V0,	7.5,	2.5,	2.5
1,	V1,	10.0,	0.0,	3.0
2,	V2,	26.0,	2.0,	2.0
3,	V3,	34.0,	0.0,	2.0
4,	V4,	48.0,	0.0,	2.0
5,	V5,	6.0,	13.0,	3.0
6,	V6,	20.0,	12.0,	2.0
7,	V7,	25.0,	12.5,	2.5
8,	V8,	36.0,	12.0,	2.0
9,	V9,	48.0,	12.0,	2.0
10,	V10,	28.0,	22.0,	2.0
11,	V11,	47.5,	23.0,	2.5
12,	V12,	24.0,	22.0,	2.0
13,	V13,	47.5,	18.0,	2.5
14,	V14,	44.0,	20.0,	2.0
15,	V15,	18.0,	27.0,	3.0
16,	V16,	42.5,	38.5,	2.5
17,	V17,	30.0,	32.0,	2.0
18,	V18,	42.0,	33.0,	3.0
19,	V19,	40.0,	30.0,	3.0
20,	V20,	5.0,	42.5,	2.5
21,	V21,	19.0,	40.0,	3.0
22,	V22,	29.0,	43.0,	3.0
23,	V23,	40.0,	43.0,	2.5
24,	V24,	40.0,	40.0,	3.0
