Name Position Velocity
id	name	x	y	velo
0	V0	24.0	2.0	2.0
1	V1	32.0	4.0	2.0
2	V2	50.0	3.0	3.0
3	V3	60.0	3.0	2.5
4	V4	70.0	3.0	2.5
5	V5	34.0	11.0	3.0
6	V6	34.0	10.0	2.0
7	V7	42.0	14.0	2.0
8	V8	59.0	15.0	3.0
9	V9	69.0	15.0	3.0
10	V10	36.0	20.0	3.0
11	V11	40.0	23.0	2.5
12	V12	46.0	28.0	3.0
13	V13	57.5	25.5	2.5
14	V14	67.5	25.5	2.5
15	V15	30.0	33.0	2.5
16	V16	40.0	36.0	3.0
17	V17	44.0	32.0	2.0
18	V18	56.0	38.0	3.0
19	V19	64.0	30.0	2.0
20	V20	27.5	45.5	2.5
21	V21	43.0	43.0	3.0
22	V22	44.0	40.0	2.0
23	V23	60.0	43.0	2.5
24	V24	70.0	43.0	2.5
