Name Position Velocity in4
id,	name,	x,	y,	velo,
0,	V0,	10.0,	0.0,	2.5
1,	V1,	20.0,	1.0,	3.0
2,	V2,	28.0,	0.0,	2.0
3,	V3,	38.0,	0.0,	2.0
4,	V4,	48.0,	0.0,	2.0
5,	V5,	10.0,	11.0,	3.0
6,	V6,	18.0,	10.0,	2.0
7,	V7,	30.0,	10.0,	2.5
8,	V8,	38.0,	10.0,	2.0
9,	V9,	48.0,	10.0,	2.0
10,	V10,	8.0,	20.0,	2.0
11,	V11,	20.0,	20.0,	2.5
12,	V12,	28.0,	20.0,	2.0
13,	V13,	40.0,	20.0,	2.5
14,	V14,	48.0,	20.0,	2.0
15,	V15,	12.0,	30.0,	3.0
16,	V16,	20.0,	30.0,	2.5
17,	V17,	28.0,	30.0,	2.0
18,	V18,	42.0,	30.0,	3.0
19,	V19,	40.0,	30.0,	3.0
20,	V20,	10.0,	40.0,	2.5
21,	V21,	22.0,	40.0,	3.0
22,	V22,	32.0,	40.0,	3.0
23,	V23,	40.0,	40.0,	2.5
24,	V24,	40.0,	40.0,	3.0
