Name Position Velocity
id	name	x	y	velo
0	V0	6.0	0.0	2.0
1	V1	16.0	0.0	2.0
2	V2	29.0	0.0	3.0
3	V3	37.5	0.0	2.5
4	V4	47.5	0.0	2.5
5	V5	9.0	10.0	3.0
6	V6	16.0	10.0	2.0
7	V7	26.0	10.0	2.0
8	V8	39.0	10.0	3.0
9	V9	49.0	10.0	3.0
10	V10	9.0	20.0	3.0
11	V11	17.5	20.0	2.5
12	V12	29.0	20.0	3.0
13	V13	37.5	20.0	2.5
14	V14	47.5	20.0	2.5
15	V15	7.5	30.0	2.5
16	V16	19.0	30.0	3.0
17	V17	26.0	30.0	2.0
18	V18	39.0	30.0	3.0
19	V19	46.0	30.0	2.0
20	V20	7.5	40.0	2.5
21	V21	19.0	40.0	3.0
22	V22	26.0	40.0	2.0
23	V23	37.5	40.0	2.5
24	V24	47.5	40.0	2.5
