Name Position Velocity in40
id,	name,	x,	y,	velo,
0,	V0,	40.0,	9.0,	2.5
1,	V1,	13.0,	0.0,	3.0
2,	V2,	30.0,	2.0,	2.0
3,	V3,	40.0,	6.0,	2.0
4,	V4,	42.0,	2.0,	2.0
5,	V5,	40.0,	17.0,	3.0
6,	V6,	44.0,	16.0,	2.0
7,	V7,	20.0,	10.0,	2.5
8,	V8,	40.0,	12.0,	2.0
9,	V9,	42.0,	12.0,	2.0
10,	V10,	22.0,	26.0,	2.0
11,	V11,	20.0,	23.0,	2.5
12,	V12,	32.0,	22.0,	2.0
13,	V13,	40.0,	25.5,	2.5
14,	V14,	40.0,	20.0,	2.0
15,	V15,	40.0,	34.0,	3.0
16,	V16,	17.5,	32.5,	2.5
17,	V17,	32.0,	32.0,	2.0
18,	V18,	42.0,	33.0,	3.0
19,	V19,	43.0,	33.0,	3.0
20,	V20,	37.5,	46.0,	2.5
21,	V21,	25.0,	43.0,	3.0
22,	V22,	26.0,	40.0,	3.0
23,	V23,	32.5,	37.5,	2.5
24,	V24,	43.0,	43.0,	3.0
